#     grain ID         completeness                 chi2                xi[0]                xi[1]                xi[2]            tVec_c[0]            tVec_c[1]            tVec_c[2]            vInv_s[0]            vInv_s[1]            vInv_s[2]    vInv_s[4]*sqrt(2)    vInv_s[5]*sqrt(2)    vInv_s[6]*sqrt(2)           ln(V[0,0])           ln(V[1,1])           ln(V[2,2])           ln(V[1,2])           ln(V[0,2])           ln(V[0,1])
             0       0.631313131313      0.0120871896573      -0.230167636175       0.218969635397      -0.489452618647     0.00296913806653     -0.0963217540279      -0.107094351172        1.00057961918        1.00025203993       0.999484110896    -0.00116986576588    -0.00135146345081   -0.000279268099974   -0.000578975262281   -0.000251646440332     0.00051682140059     0.00082742398867    0.000955680796783    0.000197785570883
             1       0.666666666667       0.031804293534      -0.117558482072       0.417762074224       0.312967988152       0.166606153609     -0.0443154313785     -0.0238839926147           1.00112592        1.00053002357        0.99918670263    -0.00162302165181     -0.0010543181456    -0.00074705770346    -0.00112486943497   -0.000529085088547    0.000814565599898     0.00114800998367     0.00074570271724    0.000528240504027
             2       0.739583333333      0.0144858589451      -0.226622754298       0.322559375669      0.0436415559873      0.0156671956592     -0.0421128597174       -0.12320241038       0.999562243665        1.00011474009        1.00060090094    0.000297653991832   -0.000103664601317   -0.000119464732222    0.000437858434276     -0.0001147078012   -0.000600695659757   -0.000210394784027    7.32870834716e-05    8.44802588909e-05
             3       0.795811518325      0.0297594000419      -0.317089486285       0.215585789995      -0.307050957134       0.188532120053     -0.0274038965274       0.042989023003       0.999875176601       0.999804546684        1.00066071938      0.0011267327761    -0.00196227986622   -0.000362419055179    0.000125826221579    0.000195822404289   -0.000659222372851    -0.00079635807972      0.0013870689309    0.000255757624332
             4       0.617021276596      0.0124361805633       0.564735106753        0.27562629806      -0.575027920032       -0.13574461736      -0.104461805809     0.00997655388529        1.00058218027       0.999394839231        1.00134016377    0.000326340402753   -0.000805869394157    -0.00100036006995   -0.000581598756012    0.000605620798251    -0.00133907802554   -0.000230471516134    0.000569207179899    0.000707304117697
             5       0.744680851064      0.0135558270839      -0.139557424982      -0.374293026004      -0.412414464991      0.0240019642891     -0.0566256654136     -0.0771484165609        1.00088866756        1.00037891658       0.999258951312   -0.000439203290499    -0.00102485348622     0.00064435660121   -0.000887906944084   -0.000378692967562    0.000741634277764    0.000310454951083    0.000724556999929   -0.000455227976383
             6       0.580110497238      0.0449350275658      -0.154112575736       0.646707044884       0.285271740241      -0.238851111276     -0.0142852325812     -0.0303604740803       0.998822811079         1.0008532206       0.999992128239     0.00131807886695      0.0010248964931   -0.000876521552334     0.00117833791419   -0.000852230686068    8.56897477344e-06   -0.000931853975049    -0.00072543033651    0.000620233126035
             7       0.619791666667      0.0297259498824       0.609545049482         0.5448733171      -0.284336149386       0.163477562137     0.00723159506194       0.138288859737        1.00016459267       0.999470566281        1.00084753054    0.000380202369864   -8.03133864972e-05    0.000540759033092   -0.000164504396467    0.000529683214232   -0.000847133864155   -0.000268811837977    5.68128047858e-05   -0.000382451819957
             8        0.69587628866      0.0130325231895      -0.324452818683      0.0490427622229       0.037628287043       0.121971529783     -0.0749030006152      -0.147565693381        1.00011172671        1.00051930469        0.99995844918    -0.00037832346576    0.000585756793051    0.000107942122332   -0.000111631784863   -0.000519131227873    4.16732364653e-05    0.000267467030144   -0.000414188308261   -7.63579190439e-05
             9       0.597883597884      0.0136231559198       0.679119676765      -0.572808762951       0.173401788872       0.229947136392     -0.0376420058018    0.000253758470022        1.00020683621       0.999748275532        1.00093419755   -0.000519399929497   -0.000465457650454    0.000703454100402   -0.000206637044908    0.000251947276827   -0.000933640042811    0.000367064223145     0.00032884937366   -0.000497368015148
            10       0.616580310881      0.0106102814515     0.00317152371375      -0.402057619467       0.628553780366      -0.160164563145     -0.0693750680411      0.0525159107504        1.00013910543        1.00081707551       0.999868637037    0.000495063540542    6.10133704271e-05   -0.000103971429372   -0.000139092128027   -0.000816677979201    0.000131433772434   -0.000349944432935     -4.315566413e-05    7.34913240813e-05
            11       0.659793814433       0.015531405537       0.329712562814       0.727555732002     -0.0995549990477      0.0453779244525     -0.0823707761863      0.0147481689377        1.00002551233        1.00055936784       0.999750216768    0.000369510824567   -3.94883393564e-05   -0.000362070862986   -2.54788584679e-05   -0.000559144591815    0.000249848955385   -0.000261239623709    2.78921656056e-05    0.000255944283582
            12       0.668367346939      0.0125712472604       -0.43254973837      -0.422005457519      -0.193674332132     -0.0602738284029     -0.0049663183135      0.0231728564153        1.00006743578        1.00043364534       0.999370262885   -1.91683066005e-05   -0.000163027358341    0.000751187188307   -6.72858389189e-05   -0.000433410264158    0.000629942224096    1.35247525913e-05    0.000115306586111   -0.000531035785538
            13       0.646739130435      0.0127064420834       0.314239787169       0.450519784152       0.180282373561      0.0724103419619     -0.0605162830913      0.0796136872803        1.00002659819        1.00190496977       0.999271739128   -0.000136010381921     0.00201991448049   -9.06246963245e-06    -2.5577339066e-05    -0.00190315297854    0.000729551793197    9.61128607737e-05    -0.00142879722985    6.33332967773e-06
            14       0.709844559585      0.0129908442513      -0.520375970319       0.210220309481      -0.281028897929      0.0987513963119      -0.100521798396      0.0980168230194       0.999545935293        1.00068013226        1.00030895736    0.000915827064565    0.000147229887486    -0.00011771858761    0.000454176715523   -0.000679688153684   -0.000308694721039   -0.000647271858032   -0.000104141768826     8.3263922057e-05
            15               0.5625        0.01330017718       -0.61786213649      -0.371490412176       0.143526658484      -0.150203397857     -0.0971689447025      0.0847820313759       0.999782743795        1.00109356921        1.00003940746    0.000359064307533   -0.000964805368062    0.000821947672916     0.00021768147499    -0.00109277076481   -3.91416782519e-05    -0.00025395128947     0.00068235502882   -0.000581037031277
            16       0.785340314136      0.0323348269995      -0.667845685283      -0.192493944768      -0.344736958169       0.139823117644      0.0306769894104      0.0121355183668        0.99953585549        1.00080059507        1.00012134551     0.00121902295274     0.00102173200867    -0.00157943782931    0.000465137556689   -0.000799280035903   -0.000120705416556   -0.000861986305072   -0.000723079307213     0.00111695572002
            17       0.617021276596      0.0287184327381      -0.712188988199      -0.160715284674     0.00848683119757       0.242170633336     -0.0277654106881     -0.0823073117468       0.999827661967        1.00089077326        1.00074812283    3.07962806569e-05    0.000923211651994    0.000725680289788    0.000172697507749   -0.000890245013093   -0.000747630004695   -2.15911084469e-05   -0.000652615949312   -0.000512942258733
            18       0.726804123711       0.014650291143      -0.488252251212       0.701182548017       0.359030391962      0.0810361073619     -0.0469371503948      0.0167001419477       0.999759107737        1.00040293451         1.0004487585   -0.000395813088499   -0.000118229468014    0.000633245440928    0.000241025025194   -0.000402714012716   -0.000448615215831    0.000279744300108    8.35295456337e-05   -0.000447724233046
            19       0.646464646465       0.010425846022       0.510778361137      -0.209069899917       -0.23547959504      0.0654244572701     -0.0440226373397     -0.0720031345304        1.00117487601       0.999727011498        1.00000808865    0.000175037330862   -0.000812072585433   -0.000123899098307    -0.00117401794919    0.000273037264857   -7.91623033091e-06   -0.000123761355957    0.000573877304531    8.75349146154e-05
            20       0.641025641026      0.0326594824763      0.0860347894327      -0.270280832767       0.419806899236      -0.113010835804      -0.140577250551       0.212911889003       0.999072714416        1.00007047781        1.00094320369    0.000736551241451    0.000651973288865    0.000718943425749    0.000927951403532   -7.02105959399e-05   -0.000942517588925   -0.000520439523655    -0.00046087893578   -0.000508467774493
            21       0.591623036649     0.00931574635468       0.197010106822       -0.19974969444       0.726778303601       0.021824274533     -0.0551852477622       0.108421504101        1.00013475629        1.00119221821       0.999268147736    0.000997842498702    -0.00161367258162    0.000855759329536   -0.000133912795221     -0.0011910763347    0.000733021054299   -0.000705764641391     0.00114159387153   -0.000605114887889
            22       0.698924731183       0.083402532481       0.156512171494      -0.758407760034       0.299767954575      0.0111326576566    -0.00932903239412      0.0673079390606       0.999696142633        1.00156279314       0.999328655318    0.000262337638343   -0.000942394839885   -0.000542774413395     0.00030419932985    -0.00156148259438    0.000671809577238   -0.000185290366427    0.000666663427882    0.000383496439858
            23        0.56783919598      0.0140093098583       0.116198513279        0.60682784257        0.47780522867       0.174720596704     0.00901077896198       0.129685964988       0.999233220288        1.00162506807       0.999846485836   -0.000287290061565   -0.000605024659378    0.000122893860611    0.000767169225561    -0.00162372471825    0.000153638138798     0.00020297688075    0.000428005212871   -8.68184200333e-05
            24       0.768817204301      0.0204292687168       0.266508714223      -0.423939713807      -0.716118514037       0.156396285871       -0.10842154933     -0.0795736303811       0.999745484354         1.0002600428        1.00027707418   -0.000360523643899   -0.000107391146317    0.000162206821418     0.00025455750194   -0.000259969944487    -0.00027700044326    0.000254855921547    7.59215381116e-05   -0.000114687554703
            25       0.740740740741      0.0185839990056      -0.316965890756       0.242188930752       0.260090869548     -0.0574306948545     -0.0505741118172       0.186193261279        1.00017828619         1.0002635994        1.00040909213    7.85497578403e-05    0.000234217152721   -0.000617335781484    -0.00017816134864   -0.000263467886096   -0.000408993224762   -5.55605223862e-05   -0.000165580040409    0.000436430521429
            26       0.578947368421      0.0154921619896       0.711877419917      -0.442191660888      -0.100724138805       0.130146424875      0.0298598869541      0.0436454944547       0.999581883092       0.999402832498        1.00142539451   -0.000695706008566     0.00159131066439      0.0011594953171    0.000419173894723    0.000597803632239    -0.00142362643047    0.000492196481182    -0.00112486288688    -0.00082058071658
            27       0.643979057592      0.0221591387144       0.494380845178       0.267992322227       0.464893433167      -0.167110121371     -0.0333225372647     -0.0185536122524       0.999094891078       0.998280925717        1.00192847408     -0.0017515412024    -0.00243573622334   -0.000291070089185    0.000907023394702     0.00172134287194     -0.0019243704851     0.00123857757431     0.00172157603803    0.000207155436131
            28       0.758974358974     0.00934005740813       0.452638604772       0.270584171702       0.476114605145       0.122158528914     -0.0596294130599       0.115515798822        1.00030528746       0.999982457842       0.999563974449    0.000100884386109    0.000597156432976    0.000193573190762   -0.000305142365608    1.75542202245e-05    0.000436212363835   -7.13233196823e-05   -0.000422276132473   -0.000136842173809
            29       0.575916230366      0.0117609190674      -0.558026285344       0.470849446817      -0.554331454767      -0.218587546568     -0.0298007857959       0.106290760652        1.00079683763       0.999845046435       0.999816215444    0.000422297669768    0.000226599626435    0.000106663101262   -0.000796504663184    0.000155013010655    0.000183858876398   -0.000298654101168   -0.000160169794533   -7.53740967092e-05
            30       0.664921465969     0.00893603408502     -0.0705754643564       -0.57418926888      -0.745474136752      -0.147526303291     -0.0823220774196       0.221979734061       0.999406245548        1.00058815935       0.999965871738   -0.000546677942505    0.000108692585682   -0.000370475246645    0.000593968071106   -0.000587877500753    3.42064825537e-05    0.000386442600939   -7.68307743809e-05    0.000261951486718
            31       0.539267015707      0.0266135252087       0.707490036224       -0.18501195918      -0.272007000125       0.121051429895       -0.10921080693      0.0192626032538        1.00103294653        1.00005141117        1.00001542266    1.59164314614e-05     0.00098793402172    0.000381729489203    -0.00103213336588   -5.13733857563e-05   -1.51786500451e-05   -1.11600307985e-05    -0.00069820752857   -0.000269773386691
            32       0.663157894737     0.00751625899113      -0.145062131072       0.278216473094      -0.251188893897       0.152604927341     -0.0190765938452       0.054008108278       0.999104738026        1.00038177921        1.00164959321    5.20750298971e-05    -0.00078490083119    0.000694050154553     0.00089593753824   -0.000381585232416    -0.00164807967133   -3.69213433555e-05    0.000554808878778   -0.000490903970965
            33       0.763005780347      0.0119621592063      -0.717144344003      -0.235491075854       0.636821138084      -0.134163513496     -0.0873413903256      0.0898372889189       0.999979243948        1.00042515224        1.00022467827    7.77526362762e-05    0.000548910159672   -0.000599649655333    2.09214614588e-05   -0.000424970522063   -0.000224576212097   -5.50438187713e-05   -0.000388110221487    0.000423941339121
            34        0.75138121547      0.0126293370586       0.428531382943       0.281602513822      -0.753962224935       0.130166288999      -0.124380951717       0.204217403548       0.999906668355        1.00079423891       0.999757807651   -0.000581309011835   -0.000173213210616   -0.000450775593538    9.33942933713e-05   -0.000793788503005    0.000242313659661    0.000410953706823    0.000122566288647    0.000318660028386
